id,scramble
PBL_AA,R2 U F2 U2 R2 U R2
PBL_AD,R U' R F2 R' U R'
PBL_DD,R2 F2 R2
PBL_AU,R U R' U' R' F R2 U' R' U' R U R' F'
PBL_DU,F R U' R' U' R U R' F' R U R' U' R' F R F'
