length,prefix,algorithm
11,y',F' U2 F R U2 F U2 F U2 R F'
11,y',F' U2 F R' U2 F' R2 F' U2 R' F'
11,y',F' U2 F U F' U2 F U2 R U2 R'
11,y',F' U2 F U R U' F R F' R' U2
11,y',F' U2 F U R2 F' U' F U R' U
11,y',F' U2 F U2 F U R F U' F' R'
11,y',F' U2 F' U2 F2 U2 F' R' F' R U
11,y',F' U2 R F U F' U' R' F U2 F
11,y',F' U2 R F U R U2 R U' F' R'
11,y',F' U2 R' U' R' F R2 F U R U
11,y',F' U2 R' U' R' U F R F U2 F
11,y',F' U2 R' U' R2 F' R U' F2 R' U2
11,y',F' U2 R2 U' R2 F' U F' U2 F' R'
11,y',F2 R2 F' U2 F' R2 F' R F' R U
11,y',F2 R2 U F2 R' F' R' F2 U R2 U2
11,y',F2 R2 U R2 U R2 F R U2 R2 F'
11,y',F2 U' F2 U F U2 F U' R U2 R'
11,y',R F' R' U2 R F U2 R' F' U F
11,y',R U F R' F R' F2 U' R' F U2
11,y',R U F R' F U R' U' F2 R' U2
11,y',R U F R2 F' U' F R F' R' U2
11,y',R U F2 U R2 F U' R' F2 U2 R'
11,y',R U R' U' F' U2 R' F R F U2
11,y',R U R2 F' U' F R2 U R2 U2 R'
11,y',R U R2 F' U' F R2 U' R2 U2 R
11,y',R U R2 U' R' U R F' U' F U2
11,y',R U2 R2 F U' R' F2 U' F2 U' R'
11,y',R U2 R2 U' F2 R' U' R F2 U' R'
11,y',R' F R F' R' U F' U2 F U R2
11,y',R' F U' F' R F2 R F2 R' U R
11,y',R' F' U2 R2 U R' F2 U' F2 U' R'
11,y',R' U R F' U' F U2 F R2 F' R
11,y',R' U2 R F' R2 U2 R' F' U R' U2
11,y',R' U2 R' F' U F2 U F2 U' F' R2
11,y',R' U2 R' U F' U F R2 U2 R' U2
11,y',R' U2 R' U F' U' R2 U2 F' R U2
11,y',R' U2 R' U2 R2 F R F' U R' U2
11,y',R' U2 R2 U F2 R' U' R F2 U' R'
11,y',R2 F' R' F2 U R U F2 R2 F' R
11,y',R2 F' R' F2 U R' F2 R2 U' F R
11,y',R2 F2 R' F' U F' R2 F' U2 F U'
11,y',R2 U R2 U' F' U' F2 R F' R' U2
11,y',R2 U' F U2 F U2 F' U' R U2 R
11,y',R2 U' F2 R F' R F2 U' R2 F2 U2
11,y',R2 U' F2 R F' R' F2 U' R2 U2 R2
11,y',R2 U' F2 U' R2 F' R' F R2 U2 R2
11,y',R2 U' F2 U' R2 F' R' F U2 R2 U2
11,y',R2 U' F2 U' R2 F' R' U2 R2 U2 F'
11,y',R2 U' R F' R F' R' U' F' R2 F'
11,y',R2 U' R F' U' F' U' R' U R2 F'
11,y',R2 U' R2 F R U R2 F U' R2 F'
11,y',R2 U' R2 F2 U R2 F R U2 R2 F'
11,y',R2 U2 F2 R' F' R F2 U F2 U R2
11,y',R2 U2 R2 U R2 F R' F' R2 U R2
11,y2,F R F' U F U R U' R2 F' U
11,y2,F R F' U' R' U2 F' U F R U'
11,y2,F R F2 R' U' F U' R F U' R'
11,y2,F R F2 R' U' R F R' U' R U'
11,y2,F R U F U F R U2 R U F
11,y2,F R U R' U F' U2 R' F' R U'
11,y2,F R U R' U R U' R' U2 F' U'
11,y2,F R U R2 U' R F' R' U R U
11,y2,F R U R2 U' R' U R U' F' U'
11,y2,F U' R' F' R2 U R' U2 F2 U' F
11,y2,F U' R' F' R2 U' F2 U2 R U F
11,y2,F U2 F' R2 U' R' F' U2 R U F
11,y2,F' R F' R F2 R U2 R' U R2 F
11,y2,F' R2 F U' R2 F2 R' U' R F' U'
11,y2,F' R2 F' R F' R U F2 R2 F' U'
11,y2,F' R2 F' R F' R' F2 R2 U' F U'
11,y2,F' R2 F' R2 F2 U R U' R F' U'
11,y2,F' U' F U' R2 F U' F R F2 R2
11,y2,F' U' F U2 F' U R' F R U' F
11,y2,F' U' R' F U' R2 U' R' F2 U2 R'
11,y2,F' U' R2 F' U' F2 U' R F' U2 R'
11,y2,F2 R U2 F U' F2 R2 F R' U R2
11,y2,F2 R U2 F' R2 F2 U F' R' U R2
11,y2,F2 U R2 U' R' F' U2 R U' F' U'
11,y2,F2 U' F2 R U' R F2 U' F2 R2 U'
11,y2,F2 U' F2 U' F2 R' F U2 F2 R' U
11,y2,F2 U' F2 U' F2 R' F' R U2 F2 U'
11,y2,F2 U2 R F2 U2 R U2 R U' R' F
11,y2,F2 U2 R U2 R' U2 F2 R U' R' F
11,y2,F2 U2 R' U F R F R' U F2 U
11,y2,R F' R2 U2 R' U R2 F' U' F' U
11,y2,R F2 R F U' F2 U F R' F2 U'
11,y2,R F2 U2 F' R F U F' U F2 U'
11,y2,R U F2 U2 R' U' R' F R' F U2
11,y2,R U R' U R2 U F' U2 F U' R2
11,y2,R U' R U F U' R F' U F2 U'
11,y2,R U' R U2 F2 U R' F R' F U2
11,y2,R U2 F' R F U R2 F' U F2 U'
11,y2,R U2 R2 U' R F' U F R2 U' R'
11,y2,R U2 R2 U2 R' U2 R F' U' F U2
11,y2,R' F R2 U F R2 U' R F' R' U2
11,y2,R' F' R2 U R' F2 U2 F' U F2 U2
11,y2,R' F' R2 U' F2 U R2 U F R U'
11,y2,R' F' R2 U' F2 U2 R F U F2 U2
11,y2,R' F2 U2 R' U2 F2 R F' U' F U2
11,y2,R' U F' R U' R' F U' F U2 R
11,y2,R' U F' U' F U' R U R' U2 R
11,y2,R' U R' U2 F' R' U2 R' U2 F' U'
11,y2,R' U2 F' R' U' F U2 F R F U2
11,y2,R' U2 F' R' U' F2 R F U R2 U
11,y2,R' U2 F' R' U2 F' U R' U2 F' U'
11,y2,R' U2 R F' R2 U' R' U' F' U2 R'
11,y2,R' U2 R U F R F' R' U R U
11,y2,R' U2 R U F R' U R U' F' U'
11,y2,R' U2 R U F2 R' F' U R F' U2
11,y2,R' U2 R U' R' F' U F U' R U
11,y2,R' U2 R U2 R' U F R' F' R2 U
11,y2,R' U2 R' U2 R2 U2 R' F' U' F U2
11,y2,R' U2 R2 F R U R2 F' U' F' U
11,y2,R' U2 R2 U R F' U F R2 U' R'
11,y2,R2 F2 R' F2 R' U2 R' F U' F U2
11,y2,R2 F2 R2 F R' F R' F2 R' U2 R
11,y2,R2 F2 U F2 R' U' R' F2 U F2 U'
11,y2,R2 U F' U R F U' R2 F U F2
11,y2,R2 U R2 U R2 U F' U' F U2 R2
11,y2,R2 U2 R U2 R' F2 R' F2 U' R' F
11,y2,R2 U2 R U2 R' F2 U R' U' F2 R'
12,,F R F R2 F' R' F' U2 R U' R' F
12,,F R F' R U2 R U' R U' R2 U R
12,,F R F' U2 F' R2 U' F R2 F2 U' F'
12,,F R F' U2 F' R2 U' F' U F2 R2 F
12,,F R F' U2 R F' U R2 F' R2 U2 F
12,,F R F2 U' F U R U R' F R2 F'
12,,F R U' R2 F U2 F2 R F' R' F R2
12,,F R U' R2 F' R' F2 U2 F R' F R2
12,,F R U2 R' F' U R' U2 R' U2 R F2
12,,F R U2 R2 U R2 U' R2 U' R F' U
12,,F R' F R F' R' F2 R U2 R U' R'
12,,F R' F R2 F' U2 R F' U' R2 F R2
12,,F R' F U' R2 U R2 U R' F' U F'
12,,F R' F' U' R2 U R2 U R' F' U F
12,,F R' F2 U' R2 U R2 U R' F' U F2
12,,F R' U R F2 R2 U' F' R' U R' U
12,,F R' U R' U F2 R2 F R' U R' U
12,,F R' U R2 U2 R2 U' R2 U R' F' U
